item_ID,title,original_language,runtime,release_date,budget,revenue,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_Foreign,Genre_History,Genre_Horror,Genre_Music,Genre_Mystery,Genre_Romance,Genre_Science Fiction,Genre_TV Movie,Genre_Thriller,Genre_War,Genre_Western
1408,Cutthroat Island,en,119.0,1995-12-22,98000000,10017322.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,Casino,en,178.0,1995-11-22,52000000,116112375.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Four Rooms,en,98.0,1995-12-09,4000000,4300000.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,The City of Lost Children,fr,108.0,1995-05-16,18000000,1738611.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2054,Mr. Holland's Opus,en,137.0,1995-12-29,0,106269971.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
880,Antonia's Line,nl,102.0,1995-09-12,900000,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
688,The Bridges of Madison County,en,135.0,1995-05-28,24000000,182016617.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1873,Beyond Rangoon,en,100.0,1995-05-24,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
281,Strange Days,en,145.0,1995-10-13,42000000,7959291.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
76,Before Sunrise,en,105.0,1995-01-27,2500000,5535405.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1909,Don Juan DeMarco,en,97.0,1994-10-01,25000000,22200000.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
8984,Disclosure,en,123.0,1994-12-09,55000000,214015089.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
628,Interview with the Vampire,en,123.0,1994-11-11,60000000,223664608.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
11,Star Wars,en,121.0,1977-05-25,11000000,775398007.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1945,Nell,en,112.0,1994-12-23,31000000,106683817.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
527,Once Were Warriors,en,99.0,1994-09-02,0,2201126.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Leon: The Professional,fr,110.0,1994-09-14,16000000,45284974.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
110,Three Colors: Red,fr,99.0,1994-05-27,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
193,Star Trek: Generations,en,118.0,1994-11-17,38000000,120000000.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1587,What's Eating Gilbert Grape,en,118.0,1993-12-17,11000000,10032765.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2064,While You Were Sleeping,en,103.0,1995-04-21,17000000,182057016.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
236,Muriel's Wedding,en,106.0,1994-09-29,3000000,15119639.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2759,"The Adventures of Priscilla, Queen of the Desert",en,104.0,1994-05-31,0,11220670.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2788,Reality Bites,en,99.0,1994-02-18,11500000,20079850.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
315,"Faster, Pussycat! Kill! Kill!",en,83.0,1965-08-06,45000,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,Beverly Hills Cop III,en,104.0,1994-05-24,50000000,119208989.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2124,Color of Night,en,121.0,1994-08-19,40000000,19726050.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
2087,The Getaway,en,115.0,1994-02-11,0,30.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2019,Hard Target,en,97.0,1993-08-20,18000000,74189677.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,Judgment Night,en,110.0,1993-10-15,0,12136938.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
329,Jurassic Park,en,127.0,1993-06-11,63000000,920100000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
507,Killing Zoe,en,96.0,1993-10-01,1500000,418961.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
788,Mrs. Doubtfire,en,125.0,1993-11-24,25000000,441286195.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1245,The Remains of the Day,en,134.0,1993-11-05,11500000,23237911.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2088,Romeo Is Bleeding,en,100.0,1993-09-13,11500000,3275585.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
858,Sleepless in Seattle,en,105.0,1993-06-24,21000000,227799884.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
319,True Romance,en,120.0,1993-09-09,12500000,12281551.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
280,Terminator 2: Judgment Day,en,137.0,1991-07-01,100000000,520000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2021,Jack & Sarah,en,110.0,1995-06-02,0,218626.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
954,Mission: Impossible,en,110.0,1996-05-22,80000000,457696359.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2300,Space Jam,en,88.0,1996-11-15,80000000,250200000.0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
922,Dead Man,en,121.0,1995-12-23,9000000,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
